Version,directories,Action,oldFile,newFile,numFileSolidity,totalNumLines
0x95ce8cc7625bb8ce7f1774b0545053fb516dbc56-0xa5be4ae152d77682b466a9f00b0cb0dd1432820b,./,deleted,Deployer3.sol,,1,1421
0x95ce8cc7625bb8ce7f1774b0545053fb516dbc56-0xa5be4ae152d77682b466a9f00b0cb0dd1432820b,./,added,,Implementation.sol,1,1206
0xe522b300071b43d31965a2fc7a70d78783b6ce94-0xbc619735fdf48bba5e2bb403e42a5d457db684d5,./,edited,DVFInterface2.sol,DVFInterface2.sol,1,83
0x84078967e5a353fc1c73366887010a8eef8387dc-0x36d3a198e65fae6700274cb9fa57fa5a8903e612,./,deleted,LidSimplifiedPresale.sol,,1,760
0x84078967e5a353fc1c73366887010a8eef8387dc-0x36d3a198e65fae6700274cb9fa57fa5a8903e612,./,added,,LidTimeLock.sol,1,147
0x2446b411a95630f719ef8c78f195ecdaf3fd5e94-0x39946ff7f4a0fe32f5b7cdcfc66c53c3d0360866,contracts/interfaces,edited,IRulerCore.sol,IRulerCore.sol,1,7
0x2446b411a95630f719ef8c78f195ecdaf3fd5e94-0x39946ff7f4a0fe32f5b7cdcfc66c53c3d0360866,contracts,edited,RulerCore.sol,RulerCore.sol,1,29
0x32833803fb72a76a239b8aeaa0f243986b2f6195-0xeafd4c05c50d65d8d4b422fffc3160ea74de003f,contracts,edited,YieldToken.sol,YieldToken.sol,1,27
0x907cfab561d4963016a77e8b72b74b400e36c4e4-0x529291de26bdd2e5a0b54fd4c764d1a394fb141b,./,edited,ShareholderVomer.sol,ShareholderVomer.sol,1,46
0xb8adf0585d263f3ba6f73bce1ccc56b821581ab8-0x392eb130d797a3476650a4b0d2cb1138055ca390,contracts,edited,LandRegistryV2.sol,LandRegistryV3.sol,1,24
0xbf4f7a30035c5295a1f0230311c78504b0f04799-0x797712d8c1b3f8af9220f4557f84b0772c412f5b,contracts/interfaces/liquidity-mining,edited,IMiningPool.sol,IMiningPool.sol,1,6
0xbf4f7a30035c5295a1f0230311c78504b0f04799-0x797712d8c1b3f8af9220f4557f84b0772c412f5b,contracts/liquidity-mining,edited,MiningPool.sol,MiningPool.sol,1,8
0x860b3913e248e6ba352120d550567379cb48fdd6-0x4d48c26721944efb0eb42b696e16da49d2a5fdb4,./,edited,ShieldController.sol,ShieldController.sol,1,23
0x61c39f195ac193952f8068128aade8381d20915e-0xaa15f3babc9f94aabe732b6e6c2c2ec5367cfd71,./,edited,TWOBASED.sol,TWOBASED.sol,1,1
0xb84f707b3d713ff40b61e960fd8c1a7b23e834b7-0xb0614eb51025a98fb13ef498a041b9ff3251b351,contracts,edited,AuctionHouse.sol,AuctionHouse.sol,1,1
0xee4ec25d10f8c5be3da724029f6b68ba186429b9-0xc7adadb4d9299d574855de7c78e2ad858272fd32,contracts,edited,AntiHeroMint.sol,AntiHeroMint.sol,1,9
0x44849c1c0e95be9c333f64e22efe208861c4d222-0x9c37b5ec20dcc05cb770da3b884da8142f533244,contracts,edited,Vesting.sol,Vesting.sol,1,4
0xf322d79762a3603042da5d2d48e3a57bf4634d36-0x0e0d4f3be984b00e3d1ccfd1a8645ec6e1309512,contracts,edited,CurveGaugeIncentives.sol,CurveGaugeIncentives.sol,1,27
0xe5862651a033cddcb8f3b4af9c063db2baec39d0-0xe5b0974a457698b171e5541378dbec55e0e2ee62,./,edited,LendingPair.sol,LendingPair.sol,1,3
0x291c80d4aa0b6ed9e6b59c82121b359999efd4b7-0x56a50f1c4b4362aeff1d9c3c1e24562a0d833488,./,edited,AsyncArtwork_v2.sol,AsyncArtwork_v2.sol,1,422
0x822768cdc89a784a8d9304c08ba4604451284cf3-0xb7dbfc820dffa04c94138678c7f4a25f8452a38b,./,edited,Factory.sol,Factory.sol,1,37
0xb07050fd0dd0e0bee9a93d8920b282afd766e445-0xa32f273b32d8143f384e63c4398ab76be59b4243,contracts,edited,Vesting3.sol,Vesting3.sol,1,4
0x145e28ece033f84219ded22266d7d1c409aa53a0-0x1a0a086a6ecc74dd0ba1ac82e5fc60003155e632,contracts/game,edited,FreaksNGuildsMigrated.sol,FreaksNGuildsMigrated.sol,1,1
0x1f10895ea66eb478d0ea512c32183f820e2f4503-0xd2bc67ad0d1fee4f4222496d2a554e0f0b8056ae,contracts/interface,edited,ISTokenManagerStruct.sol,ISTokenManagerStruct.sol,1,13
0x1f10895ea66eb478d0ea512c32183f820e2f4503-0xd2bc67ad0d1fee4f4222496d2a554e0f0b8056ae,contracts/interface,added,,ITokenURIDescriptor.sol,1,9
0x1f10895ea66eb478d0ea512c32183f820e2f4503-0xd2bc67ad0d1fee4f4222496d2a554e0f0b8056ae,contracts,edited,STokensManager.sol,STokensManager.sol,1,88
0x1f10895ea66eb478d0ea512c32183f820e2f4503-0xd2bc67ad0d1fee4f4222496d2a554e0f0b8056ae,@devprotocol/i-s-tokens/contracts/interface,edited,ISTokensManager.sol,ISTokensManager.sol,1,21
0x15bb8bef9771ea7f8c18ae5baf84b0f5aa57ccdc-0x9fa850e93981ca4c551ba67395d4ba56b4c98a8f,./,edited,UwuQuestStampsUpgradeable.sol,UwuQuestStampsUpgradeable.sol,1,18
0xe341194fa8bda19b1e2d580f4463e8784534d70e-0x18c210013ea6cbe99b2dacdc9cfcb6e07458f0ca,./,edited,ShareholderVomer.sol,ShareholderVomer.sol,1,49
0x466c7561504092bf18cac995f6a12ec344bfc482-0xeed7a195833a7ec8ee0ac577e3e6f815db5fbe84,@openzeppelin/contracts/token/ERC721,added,,IERC721Receiver.sol,1,8
0x466c7561504092bf18cac995f6a12ec344bfc482-0xeed7a195833a7ec8ee0ac577e3e6f815db5fbe84,src/habibiz/Bibiz,edited,BibizStakeUpgradeable.sol,BibizStakeUpgradeable.sol,1,14
0x1bc5ee65197c54106f9eb02e476191c6991dcffa-0x20abe9d23a45ee360b42708ea7f4a4fed0cfabcc,contracts/libraries,edited,VaultLifecycle.sol,VaultLifecycle.sol,1,7
0x1bc5ee65197c54106f9eb02e476191c6991dcffa-0x20abe9d23a45ee360b42708ea7f4a4fed0cfabcc,contracts/libraries,edited,VaultLifecycleSTETH.sol,VaultLifecycleSTETH.sol,1,51
0x1bc5ee65197c54106f9eb02e476191c6991dcffa-0x20abe9d23a45ee360b42708ea7f4a4fed0cfabcc,contracts/vaults/STETHVault/base,edited,RibbonVault.sol,RibbonVault.sol,1,13
0x1bc5ee65197c54106f9eb02e476191c6991dcffa-0x20abe9d23a45ee360b42708ea7f4a4fed0cfabcc,contracts/vaults/STETHVault,edited,RibbonThetaSTETHVault.sol,RibbonThetaSTETHVault.sol,1,9
0xb0614eb51025a98fb13ef498a041b9ff3251b351-0xd657686a1ce41720c4b29e13ea1d6cee1b4025b5,contracts,edited,AuctionHouse.sol,AuctionHouse.sol,1,45
0xb0614eb51025a98fb13ef498a041b9ff3251b351-0xd657686a1ce41720c4b29e13ea1d6cee1b4025b5,contracts,edited,AuctionHouseStorage.sol,AuctionHouseStorage.sol,1,4
0xb0614eb51025a98fb13ef498a041b9ff3251b351-0xd657686a1ce41720c4b29e13ea1d6cee1b4025b5,contracts/interfaces,edited,IAuctionHouse.sol,IAuctionHouse.sol,1,1
0x0b1d955173623f5ad616ac7ba69ca174e912aab0-0x7bfcf20d3c066ebcd9473355f58d14e3aaced0e0,./,edited,ecoLockManager.sol,ecoLockManager.sol,1,0
0x3beb54fe1b0b0569d71f4ff56f3b9c9e4cf2f3f0-0x553c518808aead61b863a978134877dbd59f8d96,./,edited,WitnetRequestBoardTrustableDefault.sol,WitnetRequestBoardTrustableDefault.sol,1,155
0x3c294fcf74129d649325f8995afc2f9cfafab9da-0x26d8ba776a067c5928841985bce342f75bae7e82,./,edited,ExchangeV3.sol,ExchangeV3.sol,1,41
0xbcecfc985064c5b6e885ebb1097e57e069863e9f-0xc43e75b055b1fbb49464de62de5427a0c70eab29,./,edited,BitBTCL1Bridge.sol,BitBTCL1Bridge.sol,1,7
0x35fb958109b70799a8f9bc2a8b1ee4cc62034193-0x21b36e50191895cf62d0cc794958488d1fcdfcca,./,edited,BearXNFTStaking.sol,BearXNFTStaking.sol,1,50
0x148c34d109778e8a8fbc1d030eb7724386cca7e1-0x89f15525107e4e8c98c382b86a310a6fcd039b83,src/habibiz/Stake,edited,StakeBaseUpgradeable.sol,StakeBaseUpgradeable.sol,1,13
0x5e2b3a8b13acd0d5068c40618a4d56de32518f36-0x068d8c19cf10bc4a69f6c4a9ae9a48f6e251f3ed,./,edited,ShareholderVomer.sol,ShareholderVomer.sol,1,259
0xc7adadb4d9299d574855de7c78e2ad858272fd32-0x52c23493d1bef71860b415d811c7be5d4b752913,contracts,edited,AntiHeroMint.sol,AntiHeroMint.sol,1,25
0x73403cf462a396df9f4ebde165c3c464a9140b75-0xee4eebbc4696885d6d26e6e07e46cc4c07d865aa,contracts/convex,edited,IConvexBoosterV2.sol,IConvexBoosterV2.sol,1,21
0x73403cf462a396df9f4ebde165c3c464a9140b75-0xee4eebbc4696885d6d26e6e07e46cc4c07d865aa,contracts,edited,ConvexBoosterV2.sol,ConvexBoosterV2.sol,1,114
0x747d492841a6a35e9c393707837cfd3b3260a245-0xab1e56782be94936f13672af7fe45edea21bc3a0,contracts,added,,CryptoSaints.sol,1,74
0x747d492841a6a35e9c393707837cfd3b3260a245-0xab1e56782be94936f13672af7fe45edea21bc3a0,contracts,deleted,import.sol,,1,6
0x747d492841a6a35e9c393707837cfd3b3260a245-0xab1e56782be94936f13672af7fe45edea21bc3a0,contracts,deleted,test,,1,8
0x747d492841a6a35e9c393707837cfd3b3260a245-0xab1e56782be94936f13672af7fe45edea21bc3a0,@openzeppelin/contracts,deleted,*,,11,243
0x747d492841a6a35e9c393707837cfd3b3260a245-0xab1e56782be94936f13672af7fe45edea21bc3a0,@openzeppelin/contracts-upgradeable,added,,*,14,370
0x06d16d05daec5c792622cef8c631e9352bb32a78-0x9b66c53f01ec18673f1b2be3c0a91a298fa31b4f,src/habibiz,edited,Bibiz.sol,Bibiz.sol,1,56
0x06d16d05daec5c792622cef8c631e9352bb32a78-0x9b66c53f01ec18673f1b2be3c0a91a298fa31b4f,src/habibiz,added,,BibizV2.sol,1,72
0x6e8ddddf0e9a6149c8e8752379d59a994bee6f51-0x28fcbca67d84af0d6c384c9b24ea27d10b359d99,./,edited,AirdropController.sol,AirdropController.sol,1,5
0xec9416466030c18b6e778a9e21d9b562c66df681-0x0a824949a864b6219ee6a51dd6a0ac42d6e2207f,contracts,edited,ETH_ERC721.sol,ETH_ERC721.sol,1,30
0xd9a3642acae343468971817d821e4112671be236-0xf273b9eeb2e6d1da35004b18291d05f342a518e6,contracts/stackles,edited,StaxxInvaders.sol,StaxxInvaders.sol,1,17
0xa43ec934b33d79b0e2d7b8916db7794f074c1c2a-0xd6918979729f2b76aed4e800c4e16853250285c7,./,edited,CommunityFund.sol,CommunityFund.sol,1,99
